step,ort_ref_loss,gvsoc_loss,abs_diff
511,0.053114,0.053113,1e-06
512,0.00222,0.00222,0.0
513,0.120257,0.120257,0.0
514,0.222043,0.222043,0.0
515,0.017475,0.017475,0.0
516,0.117483,0.117483,0.0
517,0.012441,0.012441,0.0
518,0.048051,0.04805,1e-06
519,0.023586,0.023586,0.0
520,0.012254,0.012254,0.0
521,0.061502,0.061502,0.0
522,1.695763,1.695764,1e-06
523,0.013641,0.013641,0.0
524,0.582225,0.582224,1e-06
525,0.01485,0.01485,0.0
526,0.113045,0.113045,0.0
527,0.023011,0.023011,0.0
528,0.790351,0.790351,0.0
529,0.012479,0.012479,0.0
530,0.222103,0.222103,0.0
531,0.00141,0.00141,0.0
532,2.205855,2.205857,2e-06
533,0.003491,0.00349,1e-06
534,9.6e-05,9.5e-05,1e-06
535,0.600535,0.600535,0.0
536,0.004775,0.004775,0.0
537,0.002263,0.002263,0.0
538,0.494781,0.494781,0.0
539,0.626798,0.626798,0.0
540,0.365211,0.365211,0.0
541,1.046605,1.046606,1e-06
542,0.013282,0.013282,0.0
543,1.171042,1.171042,0.0
544,0.031734,0.031734,0.0
545,0.00232,0.00232,0.0
546,0.001954,0.001954,0.0
547,0.237446,0.237446,0.0
548,0.000923,0.000923,0.0
549,0.019884,0.019884,0.0
550,0.652154,0.652153,1e-06
551,0.003443,0.003443,0.0
552,0.202783,0.202784,1e-06
553,0.036151,0.036151,0.0
554,0.033989,0.033989,0.0
555,0.011175,0.011175,0.0
556,0.000353,0.000353,0.0
557,0.014491,0.014491,0.0
558,0.02209,0.022089,1e-06
559,0.019942,0.019942,0.0
560,0.010834,0.010834,0.0
561,0.359226,0.359226,0.0
562,0.007088,0.007088,0.0
563,0.05221,0.05221,0.0
564,0.116932,0.116932,0.0
565,0.051139,0.051139,0.0
566,0.002252,0.002252,0.0
567,0.109252,0.109252,0.0
568,0.205028,0.205028,0.0
569,0.015852,0.015852,0.0
570,0.122078,0.122077,1e-06
571,0.011608,0.011608,0.0
572,0.044925,0.044925,0.0
573,0.023476,0.023476,0.0
574,0.011561,0.011561,0.0
575,0.061647,0.061647,0.0
576,1.64566,1.645661,1e-06
577,0.013282,0.013282,0.0
578,0.605338,0.605338,0.0
579,0.014131,0.014131,0.0
580,0.12309,0.123089,1e-06
581,0.023602,0.023602,0.0
582,0.778479,0.778479,0.0
583,0.012122,0.012122,0.0
584,0.242471,0.242471,0.0
585,0.001583,0.001583,0.0
586,2.014575,2.014576,1e-06
587,0.003568,0.003568,0.0
588,0.000129,0.000129,0.0
589,0.484762,0.484763,1e-06
590,0.004756,0.004756,0.0
591,0.002294,0.002294,0.0
592,0.472218,0.472218,0.0
593,0.632852,0.632851,1e-06
594,0.349806,0.349806,0.0
595,1.009187,1.009187,0.0
596,0.013316,0.013316,0.0
597,1.096188,1.096188,0.0
598,0.031413,0.031413,0.0
599,0.001794,0.001795,1e-06
600,0.002104,0.002104,0.0
601,0.233881,0.233881,0.0
602,0.000933,0.000933,0.0
603,0.022371,0.02237,1e-06
604,0.619377,0.619377,0.0
605,0.003212,0.003212,0.0
606,0.190898,0.190898,0.0
607,0.036626,0.036626,0.0
608,0.034403,0.034403,0.0
609,0.01228,0.01228,0.0
610,0.000347,0.000347,0.0
611,0.014088,0.014088,0.0
612,0.022158,0.022158,0.0
613,0.021648,0.021648,0.0
614,0.010501,0.010501,0.0
615,0.34385,0.34385,0.0
616,0.005881,0.005881,0.0
617,0.052371,0.052372,1e-06
618,0.10957,0.10957,0.0
619,0.049796,0.049796,0.0
620,0.002267,0.002267,0.0
621,0.101135,0.101135,0.0
622,0.203767,0.203767,0.0
623,0.014434,0.014434,0.0
624,0.112775,0.112775,0.0
625,0.010793,0.010793,0.0
626,0.042296,0.042295,1e-06
627,0.023287,0.023287,0.0
628,0.010982,0.010983,1e-06
629,0.060698,0.060698,0.0
630,1.605222,1.605222,0.0
631,0.012875,0.012875,0.0
632,0.580504,0.580504,0.0
633,0.014021,0.014021,0.0
634,0.134124,0.134123,1e-06
635,0.022693,0.022694,1e-06
636,0.770858,0.770858,0.0
637,0.011739,0.011739,0.0
638,0.243997,0.243998,1e-06
639,0.001688,0.001688,0.0
640,1.897424,1.897425,1e-06
641,0.00362,0.003619,1e-06
642,9.3e-05,9.3e-05,0.0
643,0.519782,0.519782,0.0
644,0.004797,0.004797,0.0
645,0.002319,0.002319,0.0
646,0.452472,0.452472,0.0
647,0.634019,0.634019,0.0
648,0.379033,0.379034,1e-06
649,1.014306,1.014307,1e-06
650,0.012539,0.012538,1e-06
651,1.083989,1.083989,0.0
652,0.032608,0.032608,0.0
653,0.002535,0.002535,0.0
654,0.002253,0.002253,0.0
655,0.225709,0.225708,1e-06
656,0.000938,0.000938,0.0
657,0.023925,0.023925,0.0
658,0.593116,0.593116,0.0
659,0.003031,0.003032,1e-06
660,0.181059,0.181059,0.0
661,0.036957,0.036957,0.0
662,0.035361,0.035361,0.0
663,0.012826,0.012826,0.0
664,0.00034,0.00034,0.0
665,0.013658,0.013658,0.0
666,0.022338,0.022338,0.0
667,0.023243,0.023242,1e-06
668,0.01018,0.01018,0.0
669,0.33183,0.33183,0.0
670,0.006521,0.006521,0.0
671,0.053696,0.053696,0.0
672,0.104497,0.104497,0.0
673,0.0483,0.0483,0.0
674,0.002288,0.002287,1e-06
675,0.093673,0.093672,1e-06
676,0.191686,0.191686,0.0
677,0.013246,0.013246,0.0
678,0.117608,0.117608,0.0
679,0.010106,0.010107,1e-06
680,0.039889,0.039889,0.0
681,0.023225,0.023225,0.0
682,0.010542,0.010542,0.0
683,0.060809,0.060809,0.0
684,1.566004,1.566005,1e-06
685,0.012513,0.012513,0.0
686,0.602537,0.602537,0.0
687,0.013321,0.013321,0.0
688,0.143486,0.143486,0.0
689,0.023233,0.023233,0.0
690,0.758226,0.758226,0.0
691,0.011383,0.011383,0.0
692,0.265299,0.2653,1e-06
693,0.001851,0.001851,0.0
694,1.725916,1.725917,1e-06
695,0.003686,0.003686,0.0
696,0.000126,0.000126,0.0
697,0.429531,0.429531,0.0
698,0.00479,0.004789,1e-06
699,0.002344,0.002344,0.0
700,0.435201,0.435202,1e-06
701,0.642773,0.642772,1e-06
702,0.361863,0.361864,1e-06
703,0.981183,0.981183,0.0
704,0.012544,0.012544,0.0
705,1.014785,1.014785,0.0
706,0.032469,0.032469,0.0
707,0.001973,0.001973,0.0
708,0.002382,0.002382,0.0
709,0.222139,0.222139,0.0
710,0.000943,0.000943,0.0
711,0.026151,0.026151,0.0
712,0.565717,0.565716,1e-06
713,0.002867,0.002867,0.0
714,0.173055,0.173056,1e-06
715,0.037353,0.037353,0.0
716,0.035521,0.035521,0.0
717,0.013692,0.013692,0.0
718,0.000334,0.000334,0.0
719,0.013264,0.013264,0.0
720,0.022361,0.022361,0.0
721,0.024791,0.024791,0.0
722,0.009864,0.009864,0.0
723,0.320985,0.320985,0.0
724,0.005508,0.005507,1e-06
725,0.054288,0.054288,0.0
726,0.099582,0.099582,0.0
727,0.047349,0.047349,0.0
728,0.002294,0.002294,0.0
729,0.087981,0.087981,0.0
730,0.191249,0.191249,0.0
731,0.012191,0.012191,0.0
732,0.109965,0.109965,0.0
733,0.009445,0.009445,0.0
734,0.037881,0.037881,0.0
735,0.023069,0.023069,0.0
736,0.01015,0.01015,0.0
737,0.059844,0.059844,0.0
738,1.532298,1.532299,1e-06
739,0.012126,0.012126,0.0
740,0.577258,0.577257,1e-06
741,0.013207,0.013206,1e-06
742,0.153726,0.153727,1e-06
743,0.022311,0.022311,0.0
744,0.751225,0.751224,1e-06
745,0.011019,0.011019,0.0
746,0.264812,0.264812,0.0
747,0.001929,0.001929,0.0
748,1.631671,1.631671,0.0
749,0.003725,0.003725,0.0
750,9.2e-05,9.3e-05,1e-06
751,0.46571,0.46571,0.0
752,0.004831,0.00483,1e-06
753,0.002364,0.002364,0.0
754,0.419652,0.419653,1e-06
755,0.646092,0.646091,1e-06
756,0.390419,0.390419,0.0
757,0.988731,0.988732,1e-06
758,0.011831,0.011831,0.0
759,1.007328,1.007327,1e-06
760,0.033754,0.033754,0.0
761,0.002736,0.002736,0.0
762,0.002508,0.002508,0.0
763,0.214295,0.214295,0.0
764,0.000945,0.000945,0.0
765,0.027296,0.027296,0.0
766,0.544271,0.544271,0.0
767,0.00274,0.00274,0.0
768,0.165976,0.165976,0.0
769,0.037611,0.037611,0.0
770,0.036303,0.036303,0.0
771,0.014029,0.014029,0.0
772,0.000327,0.000327,0.0
773,0.012858,0.012857,1e-06
774,0.022495,0.022495,0.0
775,0.026203,0.026203,0.0
776,0.009567,0.009567,0.0
777,0.312074,0.312074,0.0
778,0.006112,0.006112,0.0
779,0.055873,0.055873,0.0
780,0.096516,0.096516,0.0
781,0.046206,0.046206,0.0
782,0.002307,0.002306,1e-06
783,0.082651,0.082651,0.0
784,0.182117,0.182116,1e-06
785,0.011298,0.011298,0.0
786,0.114726,0.114726,0.0
787,0.008891,0.008892,1e-06
788,0.036016,0.036016,0.0
789,0.023036,0.023036,0.0
790,0.009824,0.009824,0.0
791,0.059885,0.059885,0.0
792,1.49857,1.49857,0.0
793,0.01179,0.01179,0.0
794,0.597961,0.597961,0.0
795,0.012557,0.012557,0.0
796,0.162031,0.162031,0.0
797,0.022858,0.022858,0.0
798,0.739214,0.739214,0.0
799,0.01069,0.01069,0.0
800,0.286004,0.286004,0.0
801,0.002075,0.002075,0.0
802,1.480211,1.480212,1e-06
803,0.003783,0.003782,1e-06
804,0.000124,0.000124,0.0
805,0.393035,0.393035,0.0
806,0.004842,0.004842,0.0
807,0.002383,0.002384,1e-06
808,0.405561,0.405562,1e-06
809,0.656299,0.656299,0.0
810,0.372404,0.372404,0.0
811,0.956912,0.956913,1e-06
812,0.011834,0.011834,0.0
813,0.943602,0.943603,1e-06
814,0.033773,0.033772,1e-06
815,0.002141,0.002141,0.0
816,0.002614,0.002614,0.0
817,0.211128,0.211128,0.0
818,0.000948,0.000948,0.0
819,0.029159,0.029159,0.0
820,0.521266,0.521266,0.0
821,0.002622,0.002622,0.0
822,0.160357,0.160357,0.0
823,0.037941,0.037941,0.0
824,0.036286,0.036286,0.0
825,0.014649,0.014649,0.0
826,0.000322,0.000322,0.0
827,0.012499,0.012499,0.0
828,0.022467,0.022467,0.0
829,0.027552,0.027552,0.0
830,0.009283,0.009283,0.0
831,0.303316,0.303316,0.0
832,0.005214,0.005214,0.0
833,0.056489,0.056489,0.0
834,0.09309,0.09309,0.0
835,0.045544,0.045544,0.0
836,0.002307,0.002307,0.0
837,0.078479,0.078479,0.0
838,0.182027,0.182026,1e-06
839,0.010494,0.010494,0.0
840,0.107969,0.107969,0.0
841,0.00836,0.00836,0.0
842,0.034477,0.034477,0.0
843,0.022902,0.022902,0.0
844,0.009523,0.009523,0.0
845,0.058893,0.058893,0.0
846,1.468341,1.468342,1e-06
847,0.01144,0.01144,0.0
848,0.572323,0.572323,0.0
849,0.012458,0.012458,0.0
850,0.171176,0.171176,0.0
851,0.021963,0.021963,0.0
852,0.733578,0.733577,1e-06
853,0.010362,0.010362,0.0
854,0.283119,0.283119,0.0
